,index,Date,Open,High,Low,Close,Volume
44377,1485261,2022-04-01 14:47:00,4539.57,4539.87,4539.22,4539.22,0
44378,1485262,2022-04-01 14:48:00,4539.23,4539.27,4538.36,4539.09,0
44379,1485263,2022-04-01 14:49:00,4539.36,4539.43,4538.53,4538.53,0
44380,1485264,2022-04-01 14:50:00,4538.53,4538.79,4536.21,4536.21,0
44381,1485265,2022-04-01 14:51:00,4536.22,4538.07,4536.22,4537.61,0
44382,1485266,2022-04-01 14:52:00,4537.62,4537.94,4536.92,4537.27,0
44383,1485267,2022-04-01 14:53:00,4537.28,4537.28,4535.77,4535.77,0
44384,1485268,2022-04-01 14:54:00,4535.72,4536.21,4535.51,4536.17,0
44385,1485269,2022-04-01 14:55:00,4536.22,4536.64,4535.76,4536.27,0
44386,1485270,2022-04-01 14:56:00,4536.24,4537.98,4536.24,4537.98,0
44387,1485271,2022-04-01 14:57:00,4537.93,4538.13,4535.87,4535.87,0
44388,1485272,2022-04-01 14:58:00,4535.75,4535.75,4533.12,4533.12,0
44389,1485273,2022-04-01 14:59:00,4533.11,4534.18,4532.85,4534.0,0
44390,1485274,2022-04-01 15:00:00,4534.0,4535.57,4533.53,4535.57,0
44391,1485275,2022-04-01 15:01:00,4535.56,4537.6,4535.56,4537.49,0
44392,1485276,2022-04-01 15:02:00,4537.54,4539.99,4537.47,4539.74,0
44393,1485277,2022-04-01 15:03:00,4539.76,4539.76,4538.12,4538.83,0
44394,1485278,2022-04-01 15:04:00,4538.86,4539.47,4537.88,4537.88,0
44395,1485279,2022-04-01 15:05:00,4537.81,4538.19,4537.38,4537.94,0
44396,1485280,2022-04-01 15:06:00,4537.75,4539.29,4537.57,4539.17,0
44397,1485281,2022-04-01 15:07:00,4539.16,4540.1,4539.13,4539.47,0
44398,1485282,2022-04-01 15:08:00,4539.51,4539.51,4537.61,4537.66,0
44399,1485283,2022-04-01 15:09:00,4537.61,4537.61,4534.52,4534.52,0
44400,1485284,2022-04-01 15:10:00,4534.68,4535.64,4534.47,4534.65,0
44401,1485285,2022-04-01 15:11:00,4534.63,4534.71,4531.5,4531.92,0
44402,1485286,2022-04-01 15:12:00,4531.88,4531.88,4529.73,4529.73,0
44403,1485287,2022-04-01 15:13:00,4529.74,4532.02,4529.74,4531.7,0
44404,1485288,2022-04-01 15:14:00,4531.7,4533.87,4531.55,4533.78,0
44405,1485289,2022-04-01 15:15:00,4533.71,4535.0,4533.7,4534.53,0
44406,1485290,2022-04-01 15:16:00,4534.6,4535.3,4532.3,4532.3,0
44407,1485291,2022-04-01 15:17:00,4532.27,4532.27,4530.9,4530.9,0
44408,1485292,2022-04-01 15:18:00,4530.84,4530.88,4528.89,4528.89,0
44409,1485293,2022-04-01 15:19:00,4528.69,4528.71,4525.29,4525.29,0
44410,1485294,2022-04-01 15:20:00,4525.17,4525.17,4523.72,4524.6,0
44411,1485295,2022-04-01 15:21:00,4524.61,4524.61,4523.09,4523.74,0
44412,1485296,2022-04-01 15:22:00,4523.76,4525.28,4523.72,4524.39,0
44413,1485297,2022-04-01 15:23:00,4524.38,4525.83,4522.56,4525.29,0
44414,1485298,2022-04-01 15:24:00,4525.35,4526.76,4524.64,4524.9,0
44415,1485299,2022-04-01 15:25:00,4524.88,4526.65,4524.82,4526.58,0
44416,1485300,2022-04-01 15:26:00,4526.53,4526.53,4525.17,4526.29,0
44417,1485301,2022-04-01 15:27:00,4526.42,4526.42,4525.57,4525.86,0
44418,1485302,2022-04-01 15:28:00,4525.58,4525.58,4524.57,4524.99,0
44419,1485303,2022-04-01 15:29:00,4524.97,4527.23,4524.85,4526.79,0
44420,1485304,2022-04-01 15:30:00,4526.7,4527.09,4525.3,4526.67,0
44421,1485305,2022-04-01 15:31:00,4526.64,4528.54,4525.67,4526.4,0
44422,1485306,2022-04-01 15:32:00,4526.4,4526.4,4522.53,4522.56,0
44423,1485307,2022-04-01 15:33:00,4522.61,4523.28,4520.14,4521.0,0
44424,1485308,2022-04-01 15:34:00,4520.98,4522.99,4520.98,4521.81,0
44425,1485309,2022-04-01 15:35:00,4521.81,4522.89,4521.78,4522.47,0
44426,1485310,2022-04-01 15:36:00,4522.48,4522.48,4520.16,4522.3,0
44427,1485311,2022-04-01 15:37:00,4522.29,4522.29,4520.13,4520.32,0
44428,1485312,2022-04-01 15:38:00,4520.36,4522.67,4519.64,4522.59,0
44429,1485313,2022-04-01 15:39:00,4522.44,4523.21,4521.92,4522.52,0
44430,1485314,2022-04-01 15:40:00,4522.41,4526.44,4522.32,4526.34,0
44431,1485315,2022-04-01 15:41:00,4526.33,4526.33,4524.35,4525.07,0
44432,1485316,2022-04-01 15:42:00,4525.12,4525.47,4520.42,4521.53,0
44433,1485317,2022-04-01 15:43:00,4521.62,4522.71,4520.89,4520.95,0
44434,1485318,2022-04-01 15:44:00,4520.77,4521.88,4520.02,4521.74,0
44435,1485319,2022-04-01 15:45:00,4521.71,4522.53,4519.9,4521.56,0
44436,1485320,2022-04-01 15:46:00,4521.52,4522.99,4521.26,4521.89,0
44437,1485321,2022-04-01 15:47:00,4521.86,4522.63,4520.61,4521.98,0
44438,1485322,2022-04-01 15:48:00,4521.91,4523.9,4521.28,4523.49,0
44439,1485323,2022-04-01 15:49:00,4523.56,4526.58,4523.35,4526.51,0
44440,1485324,2022-04-01 15:50:00,4526.57,4535.03,4526.57,4534.97,0
44441,1485325,2022-04-01 15:51:00,4535.63,4542.34,4535.63,4540.68,0
44442,1485326,2022-04-01 15:52:00,4540.63,4541.9,4536.74,4538.03,0
44443,1485327,2022-04-01 15:53:00,4538.05,4541.32,4537.69,4539.69,0
44444,1485328,2022-04-01 15:54:00,4539.65,4543.04,4539.35,4541.82,0
44445,1485329,2022-04-01 15:55:00,4541.6,4544.95,4540.18,4544.83,0
44446,1485330,2022-04-01 15:56:00,4544.85,4546.45,4543.22,4545.87,0
44447,1485331,2022-04-01 15:57:00,4545.92,4547.45,4545.92,4546.06,0
44448,1485332,2022-04-01 15:58:00,4545.71,4547.35,4544.66,4547.35,0
44449,1485333,2022-04-01 15:59:00,4547.29,4547.56,4544.79,4544.79,0
44450,1485334,2022-04-01 16:00:00,4545.74,4545.8,4545.68,4545.8,0
44451,1485335,2022-04-01 16:01:00,4545.8,4545.8,4545.8,4545.8,0
44452,1485336,2022-04-01 16:02:00,4545.8,4545.84,4545.8,4545.84,0
44453,1485337,2022-04-01 16:03:00,4545.83,4545.85,4545.83,4545.85,0
44454,1485338,2022-04-01 16:04:00,4545.85,4545.86,4545.85,4545.86,0
44455,1485339,2022-04-01 16:05:00,4545.86,4545.86,4545.86,4545.86,0
44456,1485340,2022-04-04 09:30:00,4547.97,4548.5,4545.42,4545.85,0
44457,1485341,2022-04-04 09:31:00,4546.03,4546.36,4543.57,4543.57,0
44458,1485342,2022-04-04 09:32:00,4543.51,4544.62,4542.53,4544.57,0
44459,1485343,2022-04-04 09:33:00,4544.98,4544.98,4539.76,4539.76,0
44460,1485344,2022-04-04 09:34:00,4539.91,4540.69,4539.21,4540.0,0
44461,1485345,2022-04-04 09:35:00,4539.92,4543.25,4539.67,4541.8,0
44462,1485346,2022-04-04 09:36:00,4542.03,4543.21,4540.83,4543.14,0
44463,1485347,2022-04-04 09:37:00,4542.92,4542.92,4541.52,4541.88,0
44464,1485348,2022-04-04 09:38:00,4541.98,4544.62,4541.98,4544.37,0
44465,1485349,2022-04-04 09:39:00,4544.26,4544.26,4540.9,4541.2,0
44466,1485350,2022-04-04 09:40:00,4541.37,4548.76,4541.37,4548.37,0
44467,1485351,2022-04-04 09:41:00,4548.73,4549.83,4548.3,4548.3,0
44468,1485352,2022-04-04 09:42:00,4548.42,4548.86,4547.55,4548.86,0
44469,1485353,2022-04-04 09:43:00,4548.74,4549.07,4548.0,4548.71,0
44470,1485354,2022-04-04 09:44:00,4548.4,4548.4,4546.95,4547.56,0
44471,1485355,2022-04-04 09:45:00,4547.73,4548.97,4545.31,4546.74,0
44472,1485356,2022-04-04 09:46:00,4546.77,4547.55,4545.27,4545.34,0
44473,1485357,2022-04-04 09:47:00,4545.14,4545.5,4542.84,4545.13,0
44474,1485358,2022-04-04 09:48:00,4545.04,4545.94,4544.18,4545.7,0
44475,1485359,2022-04-04 09:49:00,4545.79,4549.33,4545.63,4549.33,0
44476,1485360,2022-04-04 09:50:00,4549.34,4553.43,4549.34,4553.17,0
44477,1485361,2022-04-04 09:51:00,4553.18,4553.98,4552.66,4552.99,0
44478,1485362,2022-04-04 09:52:00,4552.97,4553.7,4552.41,4553.18,0
