,backtestReturns
261,-1.50757e-05
262,-0.000298471
263,0.003098595
264,-0.000715936
265,0.001282666
266,0.001681119
267,0.000751672
268,-0.003204027
269,0.003882431
270,-0.000595073
271,-0.000806351
272,0.003689279
273,-0.005275977
274,0.002571358
275,-0.003947092
276,-0.002800923
277,0.0
278,-0.000430207
279,0.006008932
280,-0.014150589
281,0.000261069
282,-0.001052772
283,0.000538781
284,-0.000207123
285,0.001421745
286,-0.000786468
287,0.000847264
288,-0.002179253
289,-0.000793157
290,-0.001795371
291,0.00621449
292,-0.000896465
293,-0.001525915
294,-0.000126868
295,-0.004200576
296,-0.007952525
297,0.000157106
298,-0.009943594
299,-0.005820945
300,-0.006939813
301,-0.016071682
302,0.002849457
303,0.011438988
304,0.01212519
305,0.010584266
306,0.002375711
307,0.004597738
308,0.004656793
309,0.002856906
310,0.007522063
311,-0.00548805
312,0.000871595
313,-0.001503182
314,0.001436113
315,0.019308272
316,0.003079867
317,0.00675361
318,0.003042627
319,0.008011479
320,0.002980991
321,-0.006041558
322,0.007411809
323,0.004995744
324,0.007790971
325,0.000742665
326,0.00103066
327,0.002378196
328,0.000990368
329,-0.002210667
330,0.006385397
331,-0.002022909
332,0.000833237
333,0.007358249
334,-0.001659389
335,0.003902986
336,0.002283564
337,0.000337887
338,-0.002380457
339,0.000647528
340,-0.000275994
341,0.002354658
342,0.003841617
343,0.00634958
344,0.001743969
345,-0.00424091
346,0.000760308
347,-0.000270823
348,0.000381793
349,-0.001975939
350,0.000777494
351,0.001077782
352,-0.002649203
353,0.001234439
354,0.000951223
355,0.000102799
356,0.000172698
357,0.001901099
358,0.005238976
359,4.81393e-05
360,-0.008502822
361,-0.0072703
362,-0.002255619
363,-0.004716971
364,-0.002760166
365,-0.012869028
366,-0.003726134
367,-0.000882462
368,0.003967694
369,0.00158954
370,-0.010981602
371,0.010448202
372,0.003163733
373,0.000365017
374,-0.002721049
375,0.001344095
376,-9.18091e-05
377,-0.000785882
378,-0.003424926
379,0.001502878
380,-0.001155464
381,0.00065102
382,0.006032496
383,-0.007356999
384,-0.001837919
385,0.000454158
386,-0.003079052
387,-0.000673315
388,-0.002136601
389,0.003877988
390,-0.002536793
391,-0.000838321
392,0.002500623
393,0.004041475
394,-0.000176073
395,-0.003023787
396,-0.005292743
397,0.00029846
398,-0.006057955
399,0.00784364
400,0.004922732
401,-0.000757149
402,0.0028373
403,-0.000135383
404,-0.006726478
405,-0.002351638
406,-0.011626782
407,0.004955666
408,0.002135991
409,0.005292274
410,-0.000411508
411,0.005236521
412,0.014240836
413,0.003858515
414,0.0002476
415,0.003062268
416,0.002262719
417,0.003420931
418,-0.003796631
419,-0.005263352
420,-0.001184867
421,0.000144589
422,0.004085183
423,-0.000484733
424,0.004694154
425,0.004466131
426,-0.000780251
427,-0.006009319
428,0.002333762
429,0.002980346
430,-0.000455874
431,-0.015380033
432,0.002309474
433,0.001865391
434,-0.009561836
435,-0.006025014
436,0.000316758
437,-0.00300033
438,-0.005168081
439,0.001004064
440,-0.004854032
441,-0.005625702
442,0.000215746
443,0.005139544
444,0.004107634
445,-0.004309601
446,0.002838383
447,0.001705907
448,-0.001259779
449,0.005182907
450,0.000176243
451,0.006641589
452,-0.001494259
453,-0.007939674
454,-0.001205159
455,-0.007502889
456,0.002852115
457,0.007352306
458,0.003761294
459,-0.002389379
460,0.001595028
461,0.00028164
462,0.000882843
463,0.012420029
464,-0.001780104
465,0.00642507
466,-0.00439462
467,-0.002440702
468,0.004506103
469,0.003206949
470,0.009758874
471,-0.00134667
472,0.0012858
473,0.002084702
474,0.003568202
475,0.00051857
476,0.002621635
